epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00010000,0.672739,59.0190,0.630326,67.1429
2,0.00009902,0.635848,65.6646,0.640584,62.8571
3,0.00009611,0.614016,68.8291,0.627116,69.2857
4,0.00009141,0.630309,66.6139,0.638800,72.1429
5,0.00008511,0.555493,74.2089,0.609511,76.4286
6,0.00007750,0.499749,82.1203,0.532786,82.1429
7,0.00006891,0.491443,84.0190,0.569291,82.1429
8,0.00005970,0.455371,86.0759,0.514059,81.4286
9,0.00005030,0.432244,89.7152,0.553421,84.2857
10,0.00004109,0.414582,90.8228,0.547540,82.1429
11,0.00003250,0.390842,92.4051,0.548362,83.5714
12,0.00002489,0.395147,92.2468,0.543496,85.0000
13,0.00001859,0.385974,93.0380,0.528634,86.4286
14,0.00001389,0.380787,93.3544,0.528186,84.2857
15,0.00001098,0.370206,93.8291,0.528212,84.2857
