epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.00010000,0.608556,67.3125,0.523486,76.5000
2,0.00009965,0.568450,70.3750,0.535503,75.7500
3,0.00009859,0.552143,72.2500,0.581347,76.0000
4,0.00009684,0.502239,76.3125,0.804744,68.5000
5,0.00009443,0.462287,78.2500,0.824636,68.7500
6,0.00009141,0.450878,79.8125,0.523452,79.0000
7,0.00008780,0.399611,82.9375,0.572775,79.0000
8,0.00008368,0.391283,83.3125,0.504927,80.7500
9,0.00007911,0.389286,84.1250,0.524126,78.2500
10,0.00007416,0.337330,87.1250,0.578595,78.5000
11,0.00006891,0.344885,87.4375,0.602771,80.0000
12,0.00006343,0.329076,88.8125,0.665798,77.0000
13,0.00005783,0.306009,88.9375,0.663043,76.5000
14,0.00005217,0.291300,89.9375,0.594095,77.5000
15,0.00004657,0.285702,90.8750,0.637279,76.7500
